,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
0,-0.0001,-0.0078000000000000005,-0.0014000000000000002,-0.020099999999999996,0.0155,-0.008199999999999999,0.0027,0.0148,-0.019299999999999998,-0.0068000000000000005
1,-0.0115,-0.015700000000000002,-0.0134,-0.0132,-0.0268,-0.0315,-0.0168,-0.016200000000000003,0.0016,-0.0171
2,0.008199999999999999,0.011200000000000002,0.0087,0.003,0.01,0.001,0.0124,0.0147,0.0217,0.0053
3,0.0045000000000000005,0.0059,0.0097,0.031400000000000004,-0.0019,0.0007000000000000001,0.0027,0.0242,0.004699999999999999,0.0029
4,0.0097,0.0245,0.013300000000000001,0.012199999999999999,0.024900000000000002,0.0189,0.0148,0.032799999999999996,0.0066,0.011399999999999999
5,0.0128,0.013000000000000001,0.0109,-0.001,0.0315,0.0421,0.0062,0.0373,-0.0023,0.0025
6,-0.0016,-0.0085,-0.0039000000000000003,0.005,-0.0087,-0.0144,-0.0069,0.0044,-0.0048,-0.0078000000000000005
7,0.0011,0.0031,-0.0027,-0.0115,-0.0027,-0.0014000000000000002,-0.0037,-0.0001,0.0042,-0.0016
8,0.0043,0.0036,0.0102,0.0209,0.023,0.025099999999999997,0.011899999999999999,0.0187,0.0033,0.0106
9,-0.0006,0.0089,0.01,0.012199999999999999,0.0194,0.0078000000000000005,0.0073,0.0173,-0.0014000000000000002,0.0042
10,-0.0001,0.0052,0.0118,0.0338,0.027999999999999997,0.0223,0.0052,0.0285,-0.0070999999999999995,0.005
11,0.0019,0.015300000000000001,0.0068000000000000005,0.018600000000000002,0.0172,0.0076,0.0023,0.0241,0.006999999999999999,0.0053
12,-0.0015,-0.0014000000000000002,-0.0034999999999999996,-0.0060999999999999995,0.012199999999999999,0.0101,0.0004,0.018500000000000003,0.006,-0.0039000000000000003
13,0.0032,0.0012,0.0023,0.024399999999999998,0.0189,0.0184,0.0004,0.029500000000000002,0.019,-0.0002
14,-0.0059,-0.0034999999999999996,-0.0075,-0.011699999999999999,0.0001,-0.010700000000000001,-0.0027,0.01,0.0024,-0.0034000000000000002
15,-0.0016,-0.0054,-0.004699999999999999,0.006500000000000001,0.0098,0.0013,-0.0017000000000000001,0.0048,-0.0137,-0.0003
16,0.0062,0.0054,0.0016,-0.0033,0.0046,0.0012,0.0018,0.006500000000000001,0.0003,0.005
17,-0.0003,-0.0023,0.0011,-0.0152,-0.0036,-0.0128,-0.0018,-0.0147,-0.0043,-0.0001
18,-0.011000000000000001,-0.009300000000000001,-0.008199999999999999,-0.0019,-0.0301,-0.028399999999999998,-0.015700000000000002,-0.0171,-0.0083,-0.0092
19,0.0022,0.0055000000000000005,-0.0023,0.0063,-0.0152,-0.0038,-0.0074,-0.0089,0.008100000000000001,-0.0015
20,0.0072,0.0202,0.0051,0.0073,0.0182,0.0168,0.0063,0.016,0.0014000000000000002,0.0024
21,0.0021,0.0079,0.0048,0.0044,0.0179,0.0168,0.0019,0.0152,-0.0009,0.0048
22,0.011899999999999999,0.0134,0.0069,0.004,0.0241,0.0431,0.0097,0.0132,0.0149,0.0077
23,-0.0001,-0.0021,0.0027,-0.0068000000000000005,0.0152,0.0268,0.0044,0.017,-0.0113,0.0044
24,0.0069,0.006999999999999999,0.0015,0.008,0.023399999999999997,0.0213,-0.0007000000000000001,0.0259,-0.009000000000000001,0.0027
25,-0.0014000000000000002,0.003,0.0025,-0.0085,0.0235,0.0262,0.0088,0.0291,0.0051,0.0034999999999999996
26,0.0025,-0.0024,-0.002,-0.0173,0.004,-0.011000000000000001,-0.0059,0.009899999999999999,-0.0052,-0.0048
27,0.004,-0.0021,-0.0012,0.0147,0.0253,0.0009,0.0012,0.022000000000000002,-0.0055000000000000005,-0.0022
28,-0.0012,-0.0008,-0.0063,-0.0034999999999999996,0.005600000000000001,-0.0009,-0.0027,0.009300000000000001,-0.0077,-0.0046
29,0.0034999999999999996,0.011399999999999999,0.0108,0.0097,0.0151,0.0108,0.0055000000000000005,0.027200000000000002,0.0045000000000000005,0.0018
